alpha,source,rho,v
0.03,EP,0.6,0.6016695531254074
0.06,EP,0.6,0.6017940801381557
0.09,EP,0.6,0.6032284236499103
0.12,EP,0.6,0.6019207124728879
0.15,EP,0.6,0.6031141749241721
0.18,EP,0.6,0.6015840098740193
0.21,EP,0.6,0.601314781484726
0.24,EP,0.6,0.5996601086489816
0.27,EP,0.6,0.6016351384614176
0.30000000000000004,EP,0.6,0.6010361205790357
0.32999999999999996,EP,0.6,0.5976398232147646
0.36,EP,0.6,0.594685461085112
0.39,EP,0.6,0.5945230430069972
0.42000000000000004,EP,0.6,0.5893768249561916
0.44999999999999996,EP,0.6,0.5867251184532566
0.48,EP,0.6,0.5874606790831376
0.51,EP,0.6,0.5873394277784849
0.54,EP,0.6,0.5857391311481661
0.5700000000000001,EP,0.6,0.5791070230780434
0.6,EP,0.6,0.5784864048234994
0.63,EP,0.6,0.5649304374475512
0.66,EP,0.6,0.5684167014166591
0.69,EP,0.6,0.56931240066749
0.72,EP,0.6,0.5668094387473337
0.75,EP,0.6,0.5568013789487096
0.78,EP,0.6,0.5378842506442519
0.81,EP,0.6,0.5184806107304659
0.84,EP,0.6,0.49518643207126734
0.87,EP,0.6,0.4739418592384069
0.9,EP,0.6,0.4303774394144092
0.9299999999999999,EP,0.6,0.40025162160890887
0.96,EP,0.6,0.34912898935427295
0.99,EP,0.6,0.2903504329952441
1.02,EP,0.6,0.2183047764092011
1.05,EP,0.6,0.06965817124360683
1.08,EP,0.6,0.025707411015737397
1.11,EP,0.6,0.008325369802552118
1.14,EP,0.6,0.008730950741653183
1.17,EP,0.6,6.540524294426937e-08
1.2,EP,0.6,2.893906795540653e-08
0.01,SE,0.6,0.6000232650105932
0.01,BO,0.6,0.6000232652015229
0.02,SE,0.6,0.6000224960693719
0.02,BO,0.6,0.6000224812502177
0.03,SE,0.6,0.6000216879982512
0.03,BO,0.6,0.6000216928055051
0.04,SE,0.6,0.6000208356168759
0.04,BO,0.6,0.6000208096082735
0.05,SE,0.6,0.600019933748009
0.05,BO,0.6,0.6000197596261301
0.060000000000000005,SE,0.6,0.6000189772140059
0.060000000000000005,BO,0.6,0.6000190035003803
0.06999999999999999,SE,0.6,0.6000179608387161
0.06999999999999999,BO,0.6,0.6000178675732785
0.08,SE,0.6,0.6000168794468662
0.08,BO,0.6,0.6000164115440153
0.09,SE,0.6,0.6000157278636077
0.09,BO,0.6,0.6000157839094288
0.09999999999999999,SE,0.6,0.6000145009160324
0.09999999999999999,BO,0.6,0.6000142275487036
0.11,SE,0.6,0.6000131934312158
0.11,BO,0.6,0.6000121062875002
0.12,SE,0.6,0.6000118002384481
0.12,BO,0.6,0.6000117656020197
0.13,SE,0.6,0.6000103161680621
0.13,BO,0.6,0.6000095123530957
0.14,SE,0.6,0.6000087360509068
0.14,BO,0.6,0.6000089829640126
0.15000000000000002,SE,0.6,0.6000070547192486
0.15000000000000002,BO,0.6,0.6000065171883705
0.16,SE,0.6,0.6000052670085458
0.16,BO,0.6,0.6000031355021802
0.17,SE,0.6,0.6000033677518553
0.17,BO,0.6,0.6000030408384459
0.18000000000000002,SE,0.6,0.599997052006077
0.18000000000000002,BO,0.6,0.5999992938483153
0.19,SE,0.6,0.5999947346970501
0.19,BO,0.6,0.5999989541164998
0.2,SE,0.6,0.5999923310936804
0.2,BO,0.6,0.5999946438719823
0.21000000000000002,SE,0.6,0.5999898412022358
