alpha,source,rho,v
0.03,EP,0.5,0.47974371168515384
0.06,EP,0.5,0.46371921848996633
0.09,EP,0.5,0.4493442678241087
0.12,EP,0.5,0.43278295455431604
0.15,EP,0.5,0.41751701626257853
0.18,EP,0.5,0.3972252847592083
0.21,EP,0.5,0.38257001319218437
0.24,EP,0.5,0.36866087724526186
0.27,EP,0.5,0.3496558802677549
0.30000000000000004,EP,0.5,0.3331090402502035
0.32999999999999996,EP,0.5,0.31614664715073326
0.36,EP,0.5,0.2918242212485972
0.39,EP,0.5,0.2809946783979904
0.42000000000000004,EP,0.5,0.2543570851406896
0.44999999999999996,EP,0.5,0.23688508233024147
0.48,EP,0.5,0.21761061385018066
0.51,EP,0.5,0.19505887217551027
0.54,EP,0.5,0.17339590767616392
0.5700000000000001,EP,0.5,0.14985755583010557
0.6,EP,0.5,0.13597022055136296
0.63,EP,0.5,0.0959779527674024
0.66,EP,0.5,0.07633335170953455
0.69,EP,0.5,0.02657538136804097
0.72,EP,0.5,0.0017225623720744895
0.75,EP,0.5,2.0355983118058092e-11
0.78,EP,0.5,1.8458324394374667e-11
0.81,EP,0.5,1.660812317396423e-11
0.84,EP,0.5,1.4667133311034472e-11
0.87,EP,0.5,1.3611924807418876e-11
0.9,EP,0.5,1.2753226881727478e-11
0.9299999999999999,EP,0.5,1.1932951938572342e-11
0.96,EP,0.5,1.1298656301266734e-11
0.99,EP,0.5,1.0324938212485715e-11
0.01,SE,0.5,0.49499925783369964
0.01,BO,0.5,0.4949992578303958
0.02,SE,0.5,0.48999413031155664
0.02,BO,0.5,0.48999413031119565
0.03,SE,0.5,0.4849804336566404
0.03,BO,0.5,0.4849804336152134
0.04,SE,0.5,0.4799542312162336
0.04,BO,0.5,0.47995423121252095
0.05,SE,0.5,0.47491185599663027
0.05,BO,0.5,0.47491185596590413
0.060000000000000005,SE,0.5,0.46984992465269776
0.060000000000000005,BO,0.5,0.46984992445644497
0.06999999999999999,SE,0.5,0.464765343293026
0.06999999999999999,BO,0.5,0.46476534220614524
0.08,SE,0.5,0.4596553060260984
0.08,BO,0.5,0.45965530459171283
0.09,SE,0.5,0.45451728364080446
0.09,BO,0.5,0.4545172835685557
0.09999999999999999,SE,0.5,0.4493490215196233
0.09999999999999999,BO,0.5,0.4493490211105983
0.11,SE,0.5,0.4441485117889085
0.11,BO,0.5,0.4441485097738737
0.12,SE,0.5,0.4389139820001784
0.12,BO,0.5,0.438913981673864
0.13,SE,0.5,0.4336438744855296
0.13,BO,0.5,0.43364387357321665
0.14,SE,0.5,0.4283368266798078
0.14,BO,0.5,0.4283368241163234
0.15000000000000002,SE,0.5,0.42299165158125046
0.15000000000000002,BO,0.5,0.42299164421141977
0.16,SE,0.5,0.4176073187818461
0.16,BO,0.5,0.41760731242514515
0.17,SE,0.5,0.4121829363629449
0.17,BO,0.5,0.4121829238294197
0.18000000000000002,SE,0.5,0.4067177129555589
0.18000000000000002,BO,0.5,0.4067177093436069
0.19,SE,0.5,0.4012110096734667
0.19,BO,0.5,0.4012109975563711
0.2,SE,0.5,0.3956622375043926
0.2,BO,0.5,0.39566223501343945
0.21000000000000002,SE,0.5,0.390070894796234
0.21000000000000002,BO,0.5,0.39007088854130945
0.22,SE,0.5,0.3844365429571805
0.22,BO,0.5,0.38443652619261764
