N,alpha,ensemble_type,n_iter,prior_rho,source,v,x_id
1000,0.02040816326530612,gaussian,3.0,0.25,SE,0.2449736425973765,x
1000,0.02040816326530612,gaussian,6.0,0.25,EP,0.2468006782454586,x
1000,0.02040816326530612,gaussian,,0.25,mse,0.2731001954228221,x
1000,0.04081632653061224,gaussian,3.0,0.25,SE,0.23979612188140234,x
1000,0.04081632653061224,gaussian,7.0,0.25,EP,0.23119015686652064,x
1000,0.04081632653061224,gaussian,,0.25,mse,0.2743108799687326,x
1000,0.061224489795918366,gaussian,4.0,0.25,SE,0.23405942456079917,x
1000,0.061224489795918366,gaussian,8.0,0.25,EP,0.21935548582748876,x
1000,0.061224489795918366,gaussian,,0.25,mse,0.20570443091115623,x
1000,0.08163265306122448,gaussian,4.0,0.25,SE,0.22821525891354316,x
1000,0.08163265306122448,gaussian,9.0,0.25,EP,0.22813482111806763,x
1000,0.08163265306122448,gaussian,,0.25,mse,0.21271700348127837,x
1000,0.1020408163265306,gaussian,5.0,0.25,SE,0.22161585787239443,x
1000,0.1020408163265306,gaussian,9.0,0.25,EP,0.21164639452881553,x
1000,0.1020408163265306,gaussian,,0.25,mse,0.23267717348873676,x
1000,0.12244897959183673,gaussian,5.0,0.25,SE,0.21485736366940994,x
1000,0.12244897959183673,gaussian,10.0,0.25,EP,0.239042577869623,x
1000,0.12244897959183673,gaussian,,0.25,mse,0.20504183395951553,x
1000,0.14285714285714285,gaussian,6.0,0.25,SE,0.2076222058692442,x
1000,0.14285714285714285,gaussian,16.0,0.25,EP,0.1969955329777011,x
1000,0.14285714285714285,gaussian,,0.25,mse,0.2045925254710844,x
1000,0.16326530612244897,gaussian,6.0,0.25,SE,0.1995067128862938,x
1000,0.16326530612244897,gaussian,13.0,0.25,EP,0.19470192491177157,x
1000,0.16326530612244897,gaussian,,0.25,mse,0.1636464008840126,x
1000,0.18367346938775508,gaussian,7.0,0.25,SE,0.19128220959275505,x
1000,0.18367346938775508,gaussian,11.0,0.25,EP,0.18838453205042185,x
1000,0.18367346938775508,gaussian,,0.25,mse,0.19729124710159882,x
1000,0.2040816326530612,gaussian,8.0,0.25,SE,0.182124943349197,x
1000,0.2040816326530612,gaussian,13.0,0.25,EP,0.1729345336714338,x
1000,0.2040816326530612,gaussian,,0.25,mse,0.19236415075857102,x
1000,0.22448979591836732,gaussian,8.0,0.25,SE,0.17290275892048187,x
1000,0.22448979591836732,gaussian,13.0,0.25,EP,0.18153608771792637,x
1000,0.22448979591836732,gaussian,,0.25,mse,0.19526387149323704,x
1000,0.24489795918367346,gaussian,9.0,0.25,SE,0.1631813251879744,x
1000,0.24489795918367346,gaussian,16.0,0.25,EP,0.18785968934166203,x
1000,0.24489795918367346,gaussian,,0.25,mse,0.17909529210467548,x
1000,0.26530612244897955,gaussian,10.0,0.25,SE,0.1524161449106725,x
1000,0.26530612244897955,gaussian,17.0,0.25,EP,0.1568558035524154,x
1000,0.26530612244897955,gaussian,,0.25,mse,0.15027701732491933,x
1000,0.2857142857142857,gaussian,12.0,0.25,SE,0.1415987056895053,x
1000,0.2857142857142857,gaussian,21.0,0.25,EP,0.13257351594144925,x
1000,0.2857142857142857,gaussian,,0.25,mse,0.1280004493996546,x
1000,0.3061224489795918,gaussian,13.0,0.25,SE,0.1295894020045803,x
1000,0.3061224489795918,gaussian,21.0,0.25,EP,0.1348078163791742,x
1000,0.3061224489795918,gaussian,,0.25,mse,0.13256197318038573,x
1000,0.32653061224489793,gaussian,15.0,0.25,SE,0.11744126866948759,x
1000,0.32653061224489793,gaussian,25.0,0.25,EP,0.11909286063010889,x
1000,0.32653061224489793,gaussian,,0.25,mse,0.10905440512307209,x
1000,0.3469387755102041,gaussian,18.0,0.25,SE,0.10445080151368413,x
1000,0.3469387755102041,gaussian,39.0,0.25,EP,0.09593057640548222,x
1000,0.3469387755102041,gaussian,,0.25,mse,0.10391602339719555,x
1000,0.36734693877551017,gaussian,22.0,0.25,SE,0.0896064349471918,x
1000,0.36734693877551017,gaussian,40.0,0.25,EP,0.07240199461998255,x
1000,0.36734693877551017,gaussian,,0.25,mse,0.09636799690225087,x
1000,0.3877551020408163,gaussian,28.0,0.25,SE,0.07370418578239302,x
1000,0.3877551020408163,gaussian,127.0,0.25,EP,0.04539975915634029,x
1000,0.3877551020408163,gaussian,,0.25,mse,0.06422115198642273,x
1000,0.4081632653061224,gaussian,48.0,0.25,SE,0.05299215508244257,x
1000,0.4081632653061224,gaussian,200.0,0.25,EP,0.01286372274915381,x
1000,0.4081632653061224,gaussian,,0.25,mse,0.03911829444003317,x
1000,0.42857142857142855,gaussian,63.0,0.25,SE,7.083024594910126e-07,x
1000,0.42857142857142855,gaussian,42.0,0.25,EP,7.976300772559947e-07,x
1000,0.42857142857142855,gaussian,,0.25,mse,9.62764909328027e-07,x
1000,0.44897959183673464,gaussian,35.0,0.25,SE,5.104571372428433e-07,x
1000,0.44897959183673464,gaussian,26.0,0.25,EP,5.867558671692715e-07,x
1000,0.44897959183673464,gaussian,,0.25,mse,5.378136987001433e-07,x
1000,0.4693877551020408,gaussian,27.0,0.25,SE,2.7808376023429545e-07,x
1000,0.4693877551020408,gaussian,31.0,0.25,EP,6.435939097045641e-07,x
1000,0.4693877551020408,gaussian,,0.25,mse,8.492684383460211e-07,x
1000,0.4897959183673469,gaussian,22.0,0.25,SE,4.6604872751716646e-07,x
1000,0.4897959183673469,gaussian,26.0,0.25,EP,2.472944968358946e-07,x
1000,0.4897959183673469,gaussian,,0.25,mse,2.413864007314905e-07,x
1000,0.5102040816326531,gaussian,19.0,0.25,SE,4.2221708347809275e-07,x
1000,0.5102040816326531,gaussian,21.0,0.25,EP,4.0991334562484107e-07,x
1000,0.5102040816326531,gaussian,,0.25,mse,3.0931106935551695e-07,x
1000,0.5306122448979591,gaussian,17.0,0.25,SE,3.556304252037651e-07,x
1000,0.5306122448979591,gaussian,17.0,0.25,EP,2.1785146284810573e-07,x
1000,0.5306122448979591,gaussian,,0.25,mse,1.4638428510699156e-07,x
1000,0.5510204081632653,gaussian,16.0,0.25,SE,1.360297594990343e-07,x
1000,0.5510204081632653,gaussian,14.0,0.25,EP,8.964085407751814e-08,x
1000,0.5510204081632653,gaussian,,0.25,mse,6.356402832026053e-08,x
1000,0.5714285714285714,gaussian,14.0,0.25,SE,3.147777055312409e-07,x
1000,0.5714285714285714,gaussian,15.0,0.25,EP,2.52585603891811e-07,x
1000,0.5714285714285714,gaussian,,0.25,mse,2.216963036387667e-07,x
1000,0.5918367346938775,gaussian,13.0,0.25,SE,2.639791931221481e-07,x
1000,0.5918367346938775,gaussian,14.0,0.25,EP,1.0486020158406258e-07,x
1000,0.5918367346938775,gaussian,,0.25,mse,1.0244297485208686e-07,x
1000,0.6122448979591836,gaussian,12.0,0.25,SE,2.611753335827575e-07,x
1000,0.6122448979591836,gaussian,13.0,0.25,EP,2.146124960783234e-07,x
1000,0.6122448979591836,gaussian,,0.25,mse,1.7417181074878489e-07,x
1000,0.6326530612244897,gaussian,12.0,0.25,SE,6.794863819892688e-08,x
1000,0.6326530612244897,gaussian,12.0,0.25,EP,5.517342765525871e-08,x
1000,0.6326530612244897,gaussian,,0.25,mse,6.75696493947626e-08,x
1000,0.6530612244897959,gaussian,11.0,0.25,SE,9.41291091851334e-08,x
1000,0.6530612244897959,gaussian,11.0,0.25,EP,2.0724691009818916e-07,x
1000,0.6530612244897959,gaussian,,0.25,mse,1.2596798599341467e-07,x
1000,0.673469387755102,gaussian,10.0,0.25,SE,1.6790163431183127e-07,x
1000,0.673469387755102,gaussian,10.0,0.25,EP,8.356594890978228e-08,x
1000,0.673469387755102,gaussian,,0.25,mse,6.936285668852348e-08,x
1000,0.6938775510204082,gaussian,10.0,0.25,SE,5.389654054774249e-08,x
1000,0.6938775510204082,gaussian,10.0,0.25,EP,1.4317982149489502e-07,x
1000,0.6938775510204082,gaussian,,0.25,mse,2.0239388469309226e-07,x
1000,0.7142857142857142,gaussian,9.0,0.25,SE,1.1915214673417525e-07,x
1000,0.7142857142857142,gaussian,9.0,0.25,EP,1.4826506848051506e-07,x
1000,0.7142857142857142,gaussian,,0.25,mse,3.052077390246788e-07,x
1000,0.7346938775510203,gaussian,9.0,0.25,SE,4.080855391136985e-08,x
1000,0.7346938775510203,gaussian,9.0,0.25,EP,1.018901201444309e-07,x
