a0,alpha,criterion,prior_rho
0,0.11866175048828126,perfect,0.05
0,0.20752849365234377,perfect,0.1
0,0.28565310302734376,perfect,0.15
0,0.3559652514648438,perfect,0.2
0,0.4204180541992188,perfect,0.25
0,0.48096462646484384,perfect,0.3
0,0.5366284106445314,perfect,0.35
0,0.5893625219726562,perfect,0.39999999999999997
0,0.6391669604492187,perfect,0.44999999999999996
0,0.6860417260742188,perfect,0.49999999999999994
0,0.7299868188476561,perfect,0.5499999999999999
0,0.7719787963867187,perfect,0.6
0,0.8100645434570313,perfect,0.65
0,0.8461971752929689,perfect,0.7
0,0.8803766918945313,perfect,0.75
0,0.9116265356445312,perfect,0.7999999999999999
0,0.9389701489257812,perfect,0.85
0,0.9643606469726562,perfect,0.9
0,0.9858449145507813,perfect,0.95
