N,alpha,f,n_iter,prior_rho,source,v,x_id
1000,0.02040816326530612,abs,3.0,0.25,SE,0.24497364259772186,x
1000,0.02040816326530612,abs,4.0,0.25,EP,0.23783544231038364,x
1000,0.02040816326530612,abs,,0.25,mse,0.23430041215330005,x
1000,0.04081632653061224,abs,3.0,0.25,SE,0.2397961218821417,x
1000,0.04081632653061224,abs,7.0,0.25,EP,0.24109748968905143,x
1000,0.04081632653061224,abs,,0.25,mse,0.28992122431291373,x
1000,0.061224489795918366,abs,4.0,0.25,SE,0.23405942456205045,x
1000,0.061224489795918366,abs,9.0,0.25,EP,0.24558226573780573,x
1000,0.061224489795918366,abs,,0.25,mse,0.21565482704444708,x
1000,0.08163265306122448,abs,4.0,0.25,SE,0.22821525891542158,x
1000,0.08163265306122448,abs,15.0,0.25,EP,0.24299381133341708,x
1000,0.08163265306122448,abs,,0.25,mse,0.23735699489125756,x
1000,0.1020408163265306,abs,5.0,0.25,SE,0.22161585787497626,x
1000,0.1020408163265306,abs,9.0,0.25,EP,0.1937368160906148,x
1000,0.1020408163265306,abs,,0.25,mse,0.16646423323411585,x
1000,0.12244897959183673,abs,5.0,0.25,SE,0.21485736367284797,x
1000,0.12244897959183673,abs,11.0,0.25,EP,0.20635578672723093,x
1000,0.12244897959183673,abs,,0.25,mse,0.18419263531216973,x
1000,0.14285714285714285,abs,6.0,0.25,SE,0.20762220587374217,x
1000,0.14285714285714285,abs,22.0,0.25,EP,0.19262839160702125,x
1000,0.14285714285714285,abs,,0.25,mse,0.1766586109820912,x
1000,0.16326530612244897,abs,6.0,0.25,SE,0.19950671289207778,x
1000,0.16326530612244897,abs,15.0,0.25,EP,0.18116688218276497,x
1000,0.16326530612244897,abs,,0.25,mse,0.2026894366618589,x
1000,0.18367346938775508,abs,7.0,0.25,SE,0.19128220959985853,x
1000,0.18367346938775508,abs,18.0,0.25,EP,0.15815416594689685,x
1000,0.18367346938775508,abs,,0.25,mse,0.14623855239188538,x
1000,0.2040816326530612,abs,8.0,0.25,SE,0.18212494335800125,x
1000,0.2040816326530612,abs,12.0,0.25,EP,0.16866270888718637,x
1000,0.2040816326530612,abs,,0.25,mse,0.1472383196809456,x
1000,0.22448979591836732,abs,8.0,0.25,SE,0.17290275893122956,x
1000,0.22448979591836732,abs,13.0,0.25,EP,0.16170236472449237,x
1000,0.22448979591836732,abs,,0.25,mse,0.14147477355105165,x
1000,0.24489795918367346,abs,9.0,0.25,SE,0.16318132520103468,x
1000,0.24489795918367346,abs,17.0,0.25,EP,0.1396864140307007,x
1000,0.24489795918367346,abs,,0.25,mse,0.14753106168741506,x
1000,0.26530612244897955,abs,10.0,0.25,SE,0.15241614492680958,x
1000,0.26530612244897955,abs,19.0,0.25,EP,0.14126919251826495,x
1000,0.26530612244897955,abs,,0.25,mse,0.12420864618752993,x
1000,0.2857142857142857,abs,12.0,0.25,SE,0.14159870570925606,x
1000,0.2857142857142857,abs,22.0,0.25,EP,0.1367611732450084,x
1000,0.2857142857142857,abs,,0.25,mse,0.12568719252317212,x
1000,0.3061224489795918,abs,13.0,0.25,SE,0.12958940202922048,x
1000,0.3061224489795918,abs,22.0,0.25,EP,0.14493194418093808,x
1000,0.3061224489795918,abs,,0.25,mse,0.14484509778354243,x
1000,0.32653061224489793,abs,15.0,0.25,SE,0.11744126870023164,x
1000,0.32653061224489793,abs,46.0,0.25,EP,0.12579806084939935,x
1000,0.32653061224489793,abs,,0.25,mse,0.13475817302004076,x
1000,0.3469387755102041,abs,18.0,0.25,SE,0.10445080155306272,x
1000,0.3469387755102041,abs,30.0,0.25,EP,0.1189552580116888,x
1000,0.3469387755102041,abs,,0.25,mse,0.13479289280196668,x
1000,0.36734693877551017,abs,22.0,0.25,SE,0.08960643500125237,x
1000,0.36734693877551017,abs,45.0,0.25,EP,0.1230936130664859,x
1000,0.36734693877551017,abs,,0.25,mse,0.11544287101593217,x
1000,0.3877551020408163,abs,28.0,0.25,SE,0.07370418586077343,x
1000,0.3877551020408163,abs,73.0,0.25,EP,0.08973675293562805,x
1000,0.3877551020408163,abs,,0.25,mse,0.07169589778781077,x
1000,0.4081632653061224,abs,48.0,0.25,SE,0.05299215524220653,x
1000,0.4081632653061224,abs,51.0,0.25,EP,0.0639388927823671,x
1000,0.4081632653061224,abs,,0.25,mse,0.07958011618594517,x
1000,0.42857142857142855,abs,63.0,0.25,SE,7.083454466274683e-07,x
1000,0.42857142857142855,abs,200.0,0.25,EP,0.021598067289410366,x
1000,0.42857142857142855,abs,,0.25,mse,0.020590254103520528,x
1000,0.44897959183673464,abs,35.0,0.25,SE,5.104968006171452e-07,x
1000,0.44897959183673464,abs,37.0,0.25,EP,4.6785176489219726e-07,x
1000,0.44897959183673464,abs,,0.25,mse,4.906094511815034e-07,x
1000,0.4693877551020408,abs,27.0,0.25,SE,2.7812071257722484e-07,x
1000,0.4693877551020408,abs,31.0,0.25,EP,4.595007563342708e-07,x
1000,0.4693877551020408,abs,,0.25,mse,8.074068538202036e-07,x
1000,0.4897959183673469,abs,22.0,0.25,SE,4.660859870971007e-07,x
1000,0.4897959183673469,abs,25.0,0.25,EP,2.6168372646033484e-07,x
1000,0.4897959183673469,abs,,0.25,mse,4.878028346814268e-07,x
1000,0.5102040816326531,abs,19.0,0.25,SE,4.222541142463344e-07,x
1000,0.5102040816326531,abs,26.0,0.25,EP,5.414086107352816e-07,x
