a0,alpha,criterion,output_width,prior_p_pos
0.1,2.5458129882812504,random,0.25,0.51
0.1,2.06719970703125,random,0.3,0.51
0.1,1.73018798828125,random,0.35,0.51
0.1,1.48238525390625,random,0.39999999999999997,0.51
0.1,2.6059936523437504,perfect,0.39999999999999997,0.51
0.1,1.29334716796875,random,0.44999999999999996,0.51
0.1,2.30084228515625,perfect,0.44999999999999996,0.51
0.1,1.14537353515625,random,0.49999999999999994,0.51
0.1,2.06578369140625,perfect,0.49999999999999994,0.51
0.1,1.0271362304687501,random,0.5499999999999999,0.51
0.1,1.88170166015625,perfect,0.5499999999999999,0.51
0.1,0.9308471679687502,random,0.6,0.51
0.1,1.73585205078125,perfect,0.6,0.51
0.1,0.85155029296875,random,0.65,0.51
0.1,1.61973876953125,perfect,0.65,0.51
0.1,0.78570556640625,random,0.7,0.51
0.1,1.52698974609375,perfect,0.7,0.51
0.1,0.7297729492187501,random,0.75,0.51
0.1,1.4533569335937502,perfect,0.75,0.51
0.1,0.68304443359375,random,0.7999999999999999,0.51
0.1,1.3960083007812498,perfect,0.7999999999999999,0.51
0.1,0.6433959960937501,random,0.85,0.51
0.1,1.35281982421875,perfect,0.85,0.51
0.1,0.6094116210937501,random,0.9,0.51
0.1,1.3223754882812497,perfect,0.9,0.51
0.1,0.5810913085937501,random,0.95,0.51
0.1,1.30396728515625,perfect,0.95,0.51
0.1,0.5563110351562501,random,1.0,0.51
0.1,1.29759521484375,perfect,1.0,0.51
0.1,0.53577880859375,random,1.0499999999999998,0.51
0.1,1.30750732421875,perfect,1.0499999999999998,0.51
0.1,0.51807861328125,random,1.0999999999999999,0.51
0.1,1.3549438476562499,perfect,1.0999999999999999,0.51
0.1,0.5032104492187501,random,1.15,0.51
0.1,1.42786865234375,perfect,1.15,0.51
0.1,0.49117431640625003,random,1.2,0.51
0.1,1.51070556640625,perfect,1.2,0.51
0.1,0.48126220703125,random,1.25,0.51
0.1,1.6027465820312499,perfect,1.25,0.51
0.1,0.47347412109375003,random,1.3,0.51
0.1,1.7054077148437503,perfect,1.3,0.51
0.1,0.46781005859375,random,1.3499999999999999,0.51
0.1,1.8193969726562502,perfect,1.3499999999999999,0.51
0.1,0.46427001953125,random,1.4,0.51
0.1,1.9461303710937499,perfect,1.4,0.51
0.1,0.46214599609375,random,1.45,0.51
0.1,2.08631591796875,perfect,1.45,0.51
0.1,0.46214599609375,random,1.5,0.51
0.1,2.24278564453125,perfect,1.5,0.51
0.1,0.46356201171875,random,1.5499999999999998,0.51
0.1,2.4162475585937493,perfect,1.5499999999999998,0.51
0.1,0.46710205078125006,random,1.5999999999999999,0.51
0.1,2.61024169921875,perfect,1.5999999999999999,0.51
0.1,0.47205810546875004,random,1.65,0.51
0.1,2.82618408203125,perfect,1.65,0.51
0.1,0.47843017578125,random,1.7,0.51
0.1,0.48763427734375003,random,1.75,0.51
0.1,0.49825439453125003,random,1.7999999999999998,0.51
0.1,0.5102905273437499,random,1.8499999999999999,0.51
0.1,0.52515869140625,random,1.9,0.51
0.1,0.54285888671875,random,1.95,0.51
