N,alpha,n_iter,p_pos,source,v,x_id
1000,0.02,3.0,0.25,SE,0.7414219343897764,x
1000,0.02,4.0,0.25,EP,0.7401054839825113,x
1000,0.02,,0.25,mse,0.7378951585127177,x
1000,0.04,4.0,0.25,SE,0.7328106205202476,x
1000,0.04,5.0,0.25,EP,0.7294714799599149,x
1000,0.04,,0.25,mse,0.6822659966053866,x
1000,0.06,4.0,0.25,SE,0.724162267581982,x
1000,0.06,5.0,0.25,EP,0.721100566722951,x
1000,0.06,,0.25,mse,0.7183639639403654,x
1000,0.08,4.0,0.25,SE,0.7154346297773123,x
1000,0.08,5.0,0.25,EP,0.7096406240416141,x
1000,0.08,,0.25,mse,0.6997665674995953,x
1000,0.1,4.0,0.25,SE,0.7067965414690196,x
1000,0.1,6.0,0.25,EP,0.7076087030749115,x
1000,0.1,,0.25,mse,0.6853257707863779,x
1000,0.12,4.0,0.25,SE,0.6980340561424029,x
1000,0.12,5.0,0.25,EP,0.7023311883654003,x
1000,0.12,,0.25,mse,0.6903986257312469,x
1000,0.14,4.0,0.25,SE,0.6893649037144005,x
1000,0.14,6.0,0.25,EP,0.6895876264298297,x
1000,0.14,,0.25,mse,0.6961741495286838,x
1000,0.16,4.0,0.25,SE,0.6804837839223367,x
1000,0.16,6.0,0.25,EP,0.6765193577733322,x
1000,0.16,,0.25,mse,0.6415273649958197,x
1000,0.18,4.0,0.25,SE,0.6717423745407436,x
1000,0.18,6.0,0.25,EP,0.6652388196575103,x
1000,0.18,,0.25,mse,0.6602311961445646,x
1000,0.2,5.0,0.25,SE,0.6630197340344326,x
1000,0.2,7.0,0.25,EP,0.6625169253536771,x
1000,0.2,,0.25,mse,0.7070054482438602,x
1000,0.22,5.0,0.25,SE,0.6542188699638861,x
1000,0.22,6.0,0.25,EP,0.6499122025153545,x
1000,0.22,,0.25,mse,0.6409818108033921,x
1000,0.24,5.0,0.25,SE,0.645478370028319,x
1000,0.24,7.0,0.25,EP,0.6459674187139839,x
1000,0.24,,0.25,mse,0.6586530865603792,x
1000,0.26,5.0,0.25,SE,0.6366398769051301,x
1000,0.26,7.0,0.25,EP,0.6352720270398163,x
1000,0.26,,0.25,mse,0.5988244663091697,x
1000,0.28,5.0,0.25,SE,0.6278237080331289,x
1000,0.28,7.0,0.25,EP,0.6281351097273841,x
1000,0.28,,0.25,mse,0.5990057918039058,x
1000,0.3,5.0,0.25,SE,0.6190488627178354,x
1000,0.3,7.0,0.25,EP,0.6145007182666028,x
1000,0.3,,0.25,mse,0.589368910448118,x
1000,0.32,5.0,0.25,SE,0.6103631120080695,x
1000,0.32,8.0,0.25,EP,0.6112012725795439,x
1000,0.32,,0.25,mse,0.5774934805300226,x
1000,0.34,5.0,0.25,SE,0.601626084729866,x
1000,0.34,7.0,0.25,EP,0.6055484305201579,x
1000,0.34,,0.25,mse,0.5716570651414251,x
1000,0.36,5.0,0.25,SE,0.5927173623407543,x
1000,0.36,8.0,0.25,EP,0.5927003497203445,x
1000,0.36,,0.25,mse,0.5738291507506644,x
1000,0.38,6.0,0.25,SE,0.5840258243280139,x
1000,0.38,7.0,0.25,EP,0.5771827171876314,x
1000,0.38,,0.25,mse,0.6121777671602583,x
1000,0.4,6.0,0.25,SE,0.5751810229529009,x
1000,0.4,8.0,0.25,EP,0.5774275567649272,x
1000,0.4,,0.25,mse,0.6190206292444732,x
1000,0.42,6.0,0.25,SE,0.5663379965274693,x
1000,0.42,9.0,0.25,EP,0.573383835552069,x
1000,0.42,,0.25,mse,0.6088440644064705,x
1000,0.44,6.0,0.25,SE,0.5576087116315982,x
1000,0.44,8.0,0.25,EP,0.5683030871716473,x
1000,0.44,,0.25,mse,0.582800168659416,x
1000,0.46,6.0,0.25,SE,0.5489391034585309,x
1000,0.46,9.0,0.25,EP,0.5403594527281488,x
1000,0.46,,0.25,mse,0.510781299070478,x
1000,0.48,6.0,0.25,SE,0.5402593760822535,x
1000,0.48,9.0,0.25,EP,0.5506664816705036,x
1000,0.48,,0.25,mse,0.5561808637764805,x
1000,0.5,6.0,0.25,SE,0.531372205233981,x
1000,0.5,9.0,0.25,EP,0.5390421435770469,x
1000,0.5,,0.25,mse,0.5003689302069502,x
1000,0.52,6.0,0.25,SE,0.5226433313993546,x
1000,0.52,10.0,0.25,EP,0.5338829475472304,x
1000,0.52,,0.25,mse,0.5245531475738828,x
1000,0.54,7.0,0.25,SE,0.5138756916184565,x
1000,0.54,10.0,0.25,EP,0.5158107270140763,x
1000,0.54,,0.25,mse,0.5085394011305282,x
1000,0.56,7.0,0.25,SE,0.505199618669753,x
1000,0.56,11.0,0.25,EP,0.4966788389050579,x
1000,0.56,,0.25,mse,0.4930991420851958,x
1000,0.58,7.0,0.25,SE,0.4963706633671228,x
1000,0.58,10.0,0.25,EP,0.48885965088956923,x
1000,0.58,,0.25,mse,0.4946530252912337,x
1000,0.6,7.0,0.25,SE,0.4878100339831471,x
1000,0.6,9.0,0.25,EP,0.4766952872860721,x
1000,0.6,,0.25,mse,0.4661932995003857,x
1000,0.62,7.0,0.25,SE,0.47896631271317924,x
1000,0.62,10.0,0.25,EP,0.489070246231326,x
1000,0.62,,0.25,mse,0.4368839668321666,x
1000,0.64,7.0,0.25,SE,0.4702008166400392,x
1000,0.64,10.0,0.25,EP,0.47411389360519335,x
1000,0.64,,0.25,mse,0.46038390922175904,x
1000,0.66,8.0,0.25,SE,0.4615618766324291,x
1000,0.66,12.0,0.25,EP,0.4551798649652695,x
1000,0.66,,0.25,mse,0.46457237462040246,x
1000,0.68,8.0,0.25,SE,0.4526277518593365,x
1000,0.68,10.0,0.25,EP,0.44575077384035705,x
1000,0.68,,0.25,mse,0.48375657365186614,x
1000,0.7000000000000001,8.0,0.25,SE,0.44397033844413814,x
1000,0.7000000000000001,12.0,0.25,EP,0.4418127963761666,x
1000,0.7000000000000001,,0.25,mse,0.4317585932294195,x
1000,0.72,8.0,0.25,SE,0.4350705425491447,x
1000,0.72,12.0,0.25,EP,0.4252015268566266,x
1000,0.72,,0.25,mse,0.44844359927326355,x
1000,0.74,8.0,0.25,SE,0.42633175516546856,x
1000,0.74,11.0,0.25,EP,0.4212961158407513,x
1000,0.74,,0.25,mse,0.386958388886614,x
1000,0.76,8.0,0.25,SE,0.4173944221574888,x
1000,0.76,13.0,0.25,EP,0.4136461488419355,x
1000,0.76,,0.25,mse,0.3936350133887063,x
1000,0.78,9.0,0.25,SE,0.4089000029405066,x
1000,0.78,13.0,0.25,EP,0.4137102482631942,x
1000,0.78,,0.25,mse,0.41121702181179376,x
1000,0.8,9.0,0.25,SE,0.4002260631859783,x
1000,0.8,13.0,0.25,EP,0.4075337499711742,x
1000,0.8,,0.25,mse,0.40494832554581284,x
1000,0.8200000000000001,9.0,0.25,SE,0.39139668321513676,x
1000,0.8200000000000001,11.0,0.25,EP,0.37565868342407954,x
1000,0.8200000000000001,,0.25,mse,0.40676049000837167,x
1000,0.84,9.0,0.25,SE,0.3822329916933228,x
1000,0.84,11.0,0.25,EP,0.39461979732416147,x
1000,0.84,,0.25,mse,0.40831798833524424,x
1000,0.86,10.0,0.25,SE,0.3731925030671997,x
1000,0.86,13.0,0.25,EP,0.3900565290120383,x
1000,0.86,,0.25,mse,0.4090533968953845,x
1000,0.88,10.0,0.25,SE,0.36452067488374684,x
1000,0.88,14.0,0.25,EP,0.37564886783343815,x
1000,0.88,,0.25,mse,0.3399231089790542,x
1000,0.9,10.0,0.25,SE,0.3558537813705205,x
1000,0.9,15.0,0.25,EP,0.3788428922928503,x
1000,0.9,,0.25,mse,0.35857792026778235,x
1000,0.92,11.0,0.25,SE,0.3468789504902701,x
1000,0.92,16.0,0.25,EP,0.33453835996515063,x
1000,0.92,,0.25,mse,0.34616930742362895,x
1000,0.9400000000000001,11.0,0.25,SE,0.33763928900331075,x
1000,0.9400000000000001,16.0,0.25,EP,0.34538885248496454,x
1000,0.9400000000000001,,0.25,mse,0.345513370468301,x
1000,0.96,11.0,0.25,SE,0.3288321860638014,x
1000,0.96,16.0,0.25,EP,0.33565012878960104,x
1000,0.96,,0.25,mse,0.33216570788316074,x
1000,0.98,12.0,0.25,SE,0.3197461171671423,x
1000,0.98,18.0,0.25,EP,0.3360769017851645,x
1000,0.98,,0.25,mse,0.3807686554398768,x
1000,1.0,12.0,0.25,SE,0.31072880209244685,x
1000,1.0,21.0,0.25,EP,0.31209597643165743,x
1000,1.0,,0.25,mse,0.30408800689296206,x
1000,1.02,12.0,0.25,SE,0.30140894122755535,x
1000,1.02,19.0,0.25,EP,0.30898842370173224,x
1000,1.02,,0.25,mse,0.26615514280575614,x
1000,1.04,13.0,0.25,SE,0.29223932768716293,x
1000,1.04,21.0,0.25,EP,0.2859336216388874,x
1000,1.04,,0.25,mse,0.3394283174698246,x
1000,1.06,13.0,0.25,SE,0.283252774997149,x
1000,1.06,19.0,0.25,EP,0.27233700341180755,x
1000,1.06,,0.25,mse,0.2993158998760435,x
1000,1.08,14.0,0.25,SE,0.27372976279769107,x
1000,1.08,20.0,0.25,EP,0.2764571045090761,x
1000,1.08,,0.25,mse,0.30643957577567993,x
1000,1.1,15.0,0.25,SE,0.2641570980846936,x
1000,1.1,38.0,0.25,EP,0.23483738191629933,x
1000,1.1,,0.25,mse,0.2149327640875881,x
1000,1.12,15.0,0.25,SE,0.2546469829212026,x
1000,1.12,24.0,0.25,EP,0.2309617128191374,x
1000,1.12,,0.25,mse,0.2622217729742033,x
1000,1.1400000000000001,16.0,0.25,SE,0.2446646307344101,x
1000,1.1400000000000001,25.0,0.25,EP,0.24344004599624955,x
1000,1.1400000000000001,,0.25,mse,0.2049339679732823,x
1000,1.16,17.0,0.25,SE,0.23554575141678252,x
1000,1.16,27.0,0.25,EP,0.20497040291923238,x
1000,1.16,,0.25,mse,0.21238706031914403,x
1000,1.18,18.0,0.25,SE,0.22477910388745034,x
1000,1.18,33.0,0.25,EP,0.22412715954505694,x
1000,1.18,,0.25,mse,0.20622987913560395,x
1000,1.2,19.0,0.25,SE,0.2151082836164012,x
1000,1.2,55.0,0.25,EP,0.19733567544690575,x
1000,1.2,,0.25,mse,0.2743942617930451,x
1000,1.22,20.0,0.25,SE,0.20463425307330085,x
1000,1.22,73.0,0.25,EP,0.14162921157367794,x
1000,1.22,,0.25,mse,0.1927424299048091,x
1000,1.24,22.0,0.25,SE,0.193570478177619,x
1000,1.24,31.0,0.25,EP,0.1679806702294747,x
1000,1.24,,0.25,mse,0.18291173709839126,x
1000,1.26,24.0,0.25,SE,0.1824586314491598,x
1000,1.26,50.0,0.25,EP,0.1722448247465297,x
1000,1.26,,0.25,mse,0.20672408875996282,x
1000,1.28,26.0,0.25,SE,0.17040537696106442,x
1000,1.28,37.0,0.25,EP,0.18371910324975707,x
1000,1.28,,0.25,mse,0.15171998587082822,x
1000,1.3,30.0,0.25,SE,0.15726946711805417,x
1000,1.3,47.0,0.25,EP,0.14455970841163432,x
1000,1.3,,0.25,mse,0.1611607083952556,x
1000,1.32,35.0,0.25,SE,0.1432755622559144,x
1000,1.32,18.0,0.25,EP,9.998621282556294e-12,x
1000,1.32,,0.25,mse,6.637981862705583e-19,x
1000,1.34,45.0,0.25,SE,0.12769038820350423,x
1000,1.34,26.0,0.25,EP,0.17179791911770959,x
1000,1.34,,0.25,mse,0.16830864830383213,x
1000,1.36,81.0,0.25,SE,0.10502685963835381,x
1000,1.36,200.0,0.25,EP,0.09519774886883219,x
1000,1.36,,0.25,mse,0.13773273221612034,x
1000,1.3800000000000001,43.0,0.25,SE,9.999999999897705e-12,x
1000,1.3800000000000001,31.0,0.25,EP,1e-11,x
1000,1.3800000000000001,,0.25,mse,6.061732754911024e-21,x
1000,1.4000000000000001,28.0,0.25,SE,9.999999999896476e-12,x
1000,1.4000000000000001,21.0,0.25,EP,1e-11,x
1000,1.4000000000000001,,0.25,mse,6.058736660405354e-21,x
1000,1.42,22.0,0.25,SE,9.999999999894742e-12,x
1000,1.42,26.0,0.25,EP,1e-11,x
1000,1.42,,0.25,mse,1.9885432332404847e-19,x
1000,1.44,19.0,0.25,SE,9.99999999989326e-12,x
1000,1.44,14.0,0.25,EP,9.999999999999998e-12,x
1000,1.44,,0.25,mse,3.2225656197681144e-21,x
1000,1.46,17.0,0.25,SE,9.999999999891833e-12,x
1000,1.46,12.0,0.25,EP,1e-11,x
1000,1.46,,0.25,mse,1.38376715819828e-20,x
1000,1.48,15.0,0.25,SE,2.857668362963236e-07,x
1000,1.48,11.0,0.25,EP,1e-11,x
