N,alpha,n_iter,prior_mean,source,v,x_id
1000,0.02,16.0,0.01,SE,0.500024499743053,x
1000,0.02,14.0,0.01,EP,0.4915243011911353,x
1000,0.02,,0.01,mse,0.46304586056752217,x
1000,0.02,,0.01,phase_mse,0.46284230000592025,x
1000,0.04,16.0,0.01,SE,0.5000239805797346,x
1000,0.04,16.0,0.01,EP,0.4966743004302369,x
1000,0.04,,0.01,mse,0.49050744088659065,x
1000,0.04,,0.01,phase_mse,0.4903797465465165,x
1000,0.06,16.0,0.01,SE,0.5000234366678904,x
1000,0.06,16.0,0.01,EP,0.49037295445151835,x
1000,0.06,,0.01,mse,0.472805546438956,x
1000,0.06,,0.01,phase_mse,0.4724864900502605,x
1000,0.08,17.0,0.01,SE,0.5000228523925696,x
1000,0.08,16.0,0.01,EP,0.49690962610061956,x
1000,0.08,,0.01,mse,0.4790062746479551,x
1000,0.08,,0.01,phase_mse,0.4789707980041782,x
1000,0.1,17.0,0.01,SE,0.5000222620427022,x
1000,0.1,17.0,0.01,EP,0.498114774565822,x
1000,0.1,,0.01,mse,0.4874651618551357,x
1000,0.1,,0.01,phase_mse,0.48738293982978537,x
1000,0.12,17.0,0.01,SE,0.5000216402490162,x
1000,0.12,17.0,0.01,EP,0.5000297196894818,x
1000,0.12,,0.01,mse,0.5181265058420798,x
1000,0.12,,0.01,phase_mse,0.518073162364258,x
1000,0.14,17.0,0.01,SE,0.5000209990358055,x
1000,0.14,17.0,0.01,EP,0.49267991471737155,x
1000,0.14,,0.01,mse,0.4928063678418639,x
1000,0.14,,0.01,phase_mse,0.49159959325750596,x
1000,0.16,17.0,0.01,SE,0.5000203225282345,x
1000,0.16,17.0,0.01,EP,0.5000344148686198,x
1000,0.16,,0.01,mse,0.4957704342147273,x
1000,0.16,,0.01,phase_mse,0.49543647164191384,x
1000,0.18,18.0,0.01,SE,0.500019566435434,x
1000,0.18,17.0,0.01,EP,0.4930737907811434,x
1000,0.18,,0.01,mse,0.5215730114273675,x
1000,0.18,,0.01,phase_mse,0.5215706881979995,x
1000,0.2,18.0,0.01,SE,0.5000188335458711,x
1000,0.2,17.0,0.01,EP,0.4946658644362012,x
1000,0.2,,0.01,mse,0.513870991678205,x
1000,0.2,,0.01,phase_mse,0.5133911969554176,x
1000,0.22,18.0,0.01,SE,0.5000180567719983,x
1000,0.22,17.0,0.01,EP,0.49790859973396295,x
1000,0.22,,0.01,mse,0.5194536199087717,x
1000,0.22,,0.01,phase_mse,0.51941021415353,x
1000,0.24,18.0,0.01,SE,0.5000172500860665,x
1000,0.24,18.0,0.01,EP,0.48411509676829184,x
1000,0.24,,0.01,mse,0.4822094467776839,x
1000,0.24,,0.01,phase_mse,0.4817035072673772,x
1000,0.26,19.0,0.01,SE,0.5000163386307331,x
1000,0.26,18.0,0.01,EP,0.5000399150575399,x
1000,0.26,,0.01,mse,0.5271563636080464,x
1000,0.26,,0.01,phase_mse,0.5263005050909104,x
1000,0.28,19.0,0.01,SE,0.5000154089553434,x
1000,0.28,17.0,0.01,EP,0.5000636499579106,x
1000,0.28,,0.01,mse,0.5219044796782548,x
1000,0.28,,0.01,phase_mse,0.5209338819846209,x
1000,0.3,19.0,0.01,SE,0.5000144543694062,x
1000,0.3,45.0,0.01,EP,0.5001544303111238,x
1000,0.3,,0.01,mse,0.5079914573864326,x
1000,0.3,,0.01,phase_mse,0.5079499919164653,x
1000,0.32,20.0,0.01,SE,0.500013339951835,x
1000,0.32,18.0,0.01,EP,0.4951608166837472,x
1000,0.32,,0.01,mse,0.4860087885768739,x
1000,0.32,,0.01,phase_mse,0.48461162505147054,x
1000,0.34,20.0,0.01,SE,0.500012319868543,x
1000,0.34,18.0,0.01,EP,0.5000392373770532,x
1000,0.34,,0.01,mse,0.5190333520162116,x
1000,0.34,,0.01,phase_mse,0.5185361833312498,x
1000,0.36,20.0,0.01,SE,0.5000111274595449,x
1000,0.36,18.0,0.01,EP,0.4711453184653304,x
1000,0.36,,0.01,mse,0.4755141841767719,x
1000,0.36,,0.01,phase_mse,0.47550673444626657,x
1000,0.38,21.0,0.01,SE,0.5000098972087255,x
1000,0.38,21.0,0.01,EP,0.5000613411036711,x
1000,0.38,,0.01,mse,0.48958139967620923,x
1000,0.38,,0.01,phase_mse,0.48730011884323254,x
1000,0.4,21.0,0.01,SE,0.5000086073600495,x
1000,0.4,17.0,0.01,EP,0.46361054094485615,x
1000,0.4,,0.01,mse,0.4795004945001849,x
1000,0.4,,0.01,phase_mse,0.47926061415515653,x
1000,0.42,22.0,0.01,SE,0.5000071680080125,x
1000,0.42,21.0,0.01,EP,0.4906672598719609,x
1000,0.42,,0.01,mse,0.45242967955691554,x
1000,0.42,,0.01,phase_mse,0.4524057777289363,x
1000,0.44,22.0,0.01,SE,0.5000056547126281,x
1000,0.44,48.0,0.01,EP,0.5001533578989678,x
1000,0.44,,0.01,mse,0.5206935264616548,x
1000,0.44,,0.01,phase_mse,0.5181313732774185,x
1000,0.46,23.0,0.01,SE,0.5000040001705278,x
1000,0.46,17.0,0.01,EP,0.5000617541049415,x
1000,0.46,,0.01,mse,0.4859890525278441,x
1000,0.46,,0.01,phase_mse,0.4853574574789808,x
1000,0.48,23.0,0.01,SE,0.5000022869618173,x
1000,0.48,21.0,0.01,EP,0.5000856297860694,x
1000,0.48,,0.01,mse,0.4780223346900249,x
1000,0.48,,0.01,phase_mse,0.4756545796308741,x
1000,0.5,24.0,0.01,SE,0.5000003536772932,x
1000,0.5,18.0,0.01,EP,0.4778853325339271,x
1000,0.5,,0.01,mse,0.46735558769380964,x
1000,0.5,,0.01,phase_mse,0.46622926845240603,x
1000,0.52,24.0,0.01,SE,0.49999827311736195,x
1000,0.52,19.0,0.01,EP,0.4841132078969875,x
1000,0.52,,0.01,mse,0.4862936776188303,x
1000,0.52,,0.01,phase_mse,0.4861092678623959,x
1000,0.54,25.0,0.01,SE,0.49999600114869935,x
1000,0.54,60.0,0.01,EP,0.5097943408582993,x
1000,0.54,,0.01,mse,0.544641729054837,x
1000,0.54,,0.01,phase_mse,0.5442237949488954,x
1000,0.56,26.0,0.01,SE,0.49999358103707375,x
1000,0.56,18.0,0.01,EP,0.48671822089216016,x
1000,0.56,,0.01,mse,0.4874399775660352,x
1000,0.56,,0.01,phase_mse,0.4862034793373803,x
1000,0.58,27.0,0.01,SE,0.49999085694578704,x
1000,0.58,32.0,0.01,EP,0.4763509374390109,x
1000,0.58,,0.01,mse,0.4829106615059693,x
1000,0.58,,0.01,phase_mse,0.47990245969965134,x
1000,0.6,27.0,0.01,SE,0.49998830544444883,x
1000,0.6,18.0,0.01,EP,0.4619367221530427,x
1000,0.6,,0.01,mse,0.4587086628949929,x
1000,0.6,,0.01,phase_mse,0.45721443336806084,x
1000,0.62,28.0,0.01,SE,0.49998509677742675,x
1000,0.62,21.0,0.01,EP,0.5000580188833297,x
1000,0.62,,0.01,mse,0.5071510006696881,x
1000,0.62,,0.01,phase_mse,0.5063958616385295,x
1000,0.64,30.0,0.01,SE,0.49998115101150814,x
1000,0.64,26.0,0.01,EP,0.48806544520345313,x
1000,0.64,,0.01,mse,0.4522588445418501,x
1000,0.64,,0.01,phase_mse,0.4516464427395554,x
1000,0.66,31.0,0.01,SE,0.49997685371816797,x
1000,0.66,69.0,0.01,EP,0.5035605646125648,x
1000,0.66,,0.01,mse,0.49629859194939957,x
1000,0.66,,0.01,phase_mse,0.49315340662597057,x
1000,0.68,32.0,0.01,SE,0.4999726584957523,x
1000,0.68,25.0,0.01,EP,0.4785420906845897,x
1000,0.68,,0.01,mse,0.48320295614268094,x
1000,0.68,,0.01,phase_mse,0.4818483700445596,x
1000,0.7000000000000001,34.0,0.01,SE,0.4999676857935588,x
1000,0.7000000000000001,29.0,0.01,EP,0.49971809856802074,x
1000,0.7000000000000001,,0.01,mse,0.48927000541153043,x
1000,0.7000000000000001,,0.01,phase_mse,0.4888015591309935,x
1000,0.72,36.0,0.01,SE,0.49996133194003983,x
1000,0.72,73.0,0.01,EP,0.501865067324909,x
1000,0.72,,0.01,mse,0.5121195111805498,x
1000,0.72,,0.01,phase_mse,0.5067311118563904,x
1000,0.74,38.0,0.01,SE,0.4999543835577993,x
1000,0.74,62.0,0.01,EP,0.5004532476679193,x
1000,0.74,,0.01,mse,0.4879125263828917,x
1000,0.74,,0.01,phase_mse,0.4874474402981277,x
1000,0.76,39.0,0.01,SE,0.49994833870141187,x
1000,0.76,15.0,0.01,EP,0.48452031775116794,x
1000,0.76,,0.01,mse,0.4942997216948389,x
1000,0.76,,0.01,phase_mse,0.49233917982062053,x
1000,0.78,43.0,0.01,SE,0.4999370806786637,x
1000,0.78,18.0,0.01,EP,0.4912794769797998,x
1000,0.78,,0.01,mse,0.5233297061314902,x
1000,0.78,,0.01,phase_mse,0.5222529976687659,x
1000,0.8,46.0,0.01,SE,0.49992635120399936,x
1000,0.8,18.0,0.01,EP,0.47264760148240703,x
1000,0.8,,0.01,mse,0.47644648969186415,x
1000,0.8,,0.01,phase_mse,0.4755703597818447,x
1000,0.8200000000000001,50.0,0.01,SE,0.4999133575825432,x
1000,0.8200000000000001,24.0,0.01,EP,0.500204619721605,x
1000,0.8200000000000001,,0.01,mse,0.5154655871676268,x
1000,0.8200000000000001,,0.01,phase_mse,0.5136294011381629,x
1000,0.84,55.0,0.01,SE,0.499896746561712,x
