a0,alpha,n_iter,prior_mean,prior_rho,v,x_id
0,0.02,3,0,0.4,0.3934630053305121,x
0,0.02,3,0,0.4,0.07223863635192614,z
0,0.04,4,0,0.4,0.38692376044802224,x
0,0.04,4,0,0.4,0.0717891850919418,z
0,0.06,4,0,0.4,0.38035400070831554,x
0,0.06,4,0,0.4,0.07132528177295741,z
0,0.08,4,0,0.4,0.3737306198674268,x
0,0.08,4,0,0.4,0.07084466026321153,z
0,0.1,4,0,0.4,0.3670357728302463,x
0,0.1,4,0,0.4,0.0703452389641548,z
0,0.12,4,0,0.4,0.36025656430648223,x
0,0.12,4,0,0.4,0.069825132715463,z
0,0.14,4,0,0.4,0.3533844759108077,x
0,0.14,4,0,0.4,0.06928264450675349,z
0,0.16,5,0,0.4,0.3464146636358369,x
0,0.16,5,0,0.4,0.06871624108702977,z
0,0.18,5,0,0.4,0.33934532188555744,x
0,0.18,5,0,0.4,0.06812454024705386,z
0,0.2,5,0,0.4,0.33217700306350195,x
0,0.2,5,0,0.4,0.06750627136110066,z
0,0.22,5,0,0.4,0.32491211219684074,x
0,0.22,5,0,0.4,0.06686026112975652,z
0,0.24,5,0,0.4,0.31755445740104926,x
0,0.24,5,0,0.4,0.06618541299960147,z
0,0.26,6,0,0.4,0.3101088326289793,x
0,0.26,6,0,0.4,0.06548068322510452,z
0,0.28,6,0,0.4,0.30258090791454545,x
0,0.28,6,0,0.4,0.064745094699457,z
0,0.3,6,0,0.4,0.2949767956099461,x
0,0.3,6,0,0.4,0.06397769688714566,z
0,0.32,6,0,0.4,0.2873029979623341,x
0,0.32,6,0,0.4,0.06317757726401532,z
0,0.34,6,0,0.4,0.27956625007651337,x
0,0.34,6,0,0.4,0.06234385345371885,z
0,0.36,7,0,0.4,0.271773256234546,x
0,0.36,7,0,0.4,0.06147564529039436,z
0,0.38,7,0,0.4,0.26393112471066915,x
0,0.38,7,0,0.4,0.06057215235446247,z
0,0.4,7,0,0.4,0.25604666601586895,x
0,0.4,7,0,0.4,0.05963255471653437,z
0,0.42,8,0,0.4,0.24812658627516265,x
0,0.42,8,0,0.4,0.058656047434262185,z
0,0.44,8,0,0.4,0.2401777966911202,x
0,0.44,8,0,0.4,0.057641899146607896,z
0,0.46,8,0,0.4,0.23220685194481716,x
0,0.46,8,0,0.4,0.05658936426182546,z
0,0.48,8,0,0.4,0.22422024426455925,x
0,0.48,8,0,0.4,0.05549773542279691,z
0,0.5,9,0,0.4,0.21622404833951148,x
0,0.5,9,0,0.4,0.054366281632313114,z
0,0.52,9,0,0.4,0.20822479043848982,x
0,0.52,9,0,0.4,0.053194413006433454,z
0,0.54,9,0,0.4,0.2002283182170039,x
0,0.54,9,0,0.4,0.05198147321702046,z
0,0.56,10,0,0.4,0.19224007925145686,x
0,0.56,10,0,0.4,0.05072678365457038,z
0,0.58,10,0,0.4,0.18426616865580223,x
0,0.58,10,0,0.4,0.04942986053700928,z
0,0.6,11,0,0.4,0.176311451419024,x
0,0.6,11,0,0.4,0.04809002784498127,z
0,0.62,11,0,0.4,0.1683815299352614,x
0,0.62,11,0,0.4,0.04670682862249449,z
0,0.64,12,0,0.4,0.16048079458862463,x
0,0.64,12,0,0.4,0.045279598853323555,z
0,0.66,12,0,0.4,0.1526143796551279,x
0,0.66,12,0,0.4,0.0438079000471865,z
0,0.68,13,0,0.4,0.14478601278477046,x
0,0.68,13,0,0.4,0.04229101630356126,z
0,0.7000000000000001,13,0,0.4,0.1370003624673465,x
0,0.7000000000000001,13,0,0.4,0.04072850325246034,z
0,0.72,14,0,0.4,0.12926019438289404,x
0,0.72,14,0,0.4,0.03911947935162182,z
0,0.74,15,0,0.4,0.12156908555584067,x
0,0.74,15,0,0.4,0.03746328427801229,z
0,0.76,16,0,0.4,0.11392959227243488,x
0,0.76,16,0,0.4,0.03575899960914757,z
0,0.78,17,0,0.4,0.10634359637561952,x
0,0.78,17,0,0.4,0.03400550281258901,z
0,0.8,18,0,0.4,0.09881211575284697,x
0,0.8,18,0,0.4,0.03220137618551705,z
0,0.8200000000000001,19,0,0.4,0.0913350353491745,x
0,0.8200000000000001,19,0,0.4,0.030344777292175697,z
0,0.84,21,0,0.4,0.08391000874735784,x
0,0.84,21,0,0.4,0.028433035247394652,z
0,0.86,23,0,0.4,0.07653365717143783,x
0,0.86,23,0,0.4,0.026462898860929247,z
0,0.88,25,0,0.4,0.06919867104640456,x
0,0.88,25,0,0.4,0.024429505269700807,z
0,0.9,28,0,0.4,0.06189203437060508,x
0,0.9,28,0,0.4,0.022325540080370604,z
0,0.92,31,0,0.4,0.05459335763657644,x
0,0.92,31,0,0.4,0.02014027080181319,z
0,0.9400000000000001,36,0,0.4,0.04726500448103521,x
0,0.9400000000000001,36,0,0.4,0.017855511690191547,z
0,0.96,42,0,0.4,0.039840381332973004,x
0,0.96,42,0,0.4,0.01544006992647816,z
0,0.98,53,0,0.4,0.03217488983653482,x
0,0.98,53,0,0.4,0.012828943353712081,z
0,1.0,75,0,0.4,0.023875347984666534,x
0,1.0,75,0,0.4,0.009849955020687994,z
0,1.02,200,0,0.4,0.011736419363116469,x
0,1.02,200,0,0.4,0.005146754549146599,z
0,1.04,95,0,0.4,1.9262834380213303e-06,x
0,1.04,95,0,0.4,1.0704340371769993e-06,z
0,1.06,67,0,0.4,1.6986304695721176e-06,x
0,1.06,67,0,0.4,9.544040482034603e-07,z
0,1.08,54,0,0.4,1.7016000760757315e-06,x
0,1.08,54,0,0.4,9.662473135365909e-07,z
0,1.1,46,0,0.4,1.7480112328934253e-06,x
0,1.1,46,0,0.4,1.0031326247709977e-06,z
0,1.12,41,0,0.4,1.4186477958100338e-06,x
0,1.12,41,0,0.4,8.236086593470243e-07,z
0,1.1400000000000001,37,0,0.4,1.3396334432708156e-06,x
0,1.1400000000000001,37,0,0.4,7.863508802403936e-07,z
0,1.16,34,0,0.4,1.20572969306058e-06,x
0,1.16,34,0,0.4,7.157511449611542e-07,z
0,1.18,31,0,0.4,1.4769485747897344e-06,x
0,1.18,31,0,0.4,8.85647862432232e-07,z
0,1.2,29,0,0.4,1.367076417708476e-06,x
0,1.2,29,0,0.4,8.290131763777545e-07,z
0,1.22,28,0,0.4,8.616677381812316e-07,x
0,1.22,28,0,0.4,5.291579887730625e-07,z
0,1.24,26,0,0.4,1.1008433066352053e-06,x
0,1.24,26,0,0.4,6.829042252256582e-07,z
0,1.26,25,0,0.4,8.813745216895333e-07,x
0,1.26,25,0,0.4,5.532191751119416e-07,z
0,1.28,24,0,0.4,7.713396215116872e-07,x
0,1.28,24,0,0.4,4.897107689175885e-07,z
0,1.3,23,0,0.4,7.324599344842546e-07,x
0,1.3,23,0,0.4,4.702369828860565e-07,z
0,1.32,22,0,0.4,7.497853935471823e-07,x
0,1.32,22,0,0.4,4.86635465096003e-07,z
0,1.34,21,0,0.4,8.171981698817505e-07,x
0,1.34,21,0,0.4,5.36087872436502e-07,z
0,1.36,20,0,0.4,9.568432470805926e-07,x
0,1.36,20,0,0.4,6.342727478467843e-07,z
0,1.3800000000000001,20,0,0.4,5.717783754580155e-07,x
0,1.3800000000000001,20,0,0.4,3.8380775049158916e-07,z
0,1.4000000000000001,19,0,0.4,7.350796097991423e-07,x
0,1.4000000000000001,19,0,0.4,4.984639273456946e-07,z
0,1.42,19,0,0.4,4.634393084940649e-07,x
0,1.42,19,0,0.4,3.181220817246565e-07,z
0,1.44,18,0,0.4,6.521361382305433e-07,x
0,1.44,18,0,0.4,4.5210557630321237e-07,z
0,1.46,18,0,0.4,4.2803306325927207e-07,x
0,1.46,18,0,0.4,3.0031860191466195e-07,z
0,1.48,17,0,0.4,6.584526908762366e-07,x
0,1.48,17,0,0.4,4.6644760498244153e-07,z
0,1.5,17,0,0.4,4.50425012832134e-07,x
0,1.5,17,0,0.4,3.2286883975428925e-07,z
0,1.52,17,0,0.4,3.137444070207366e-07,x
0,1.52,17,0,0.4,2.2751101118301694e-07,z
0,1.54,16,0,0.4,5.320965700561829e-07,x
0,1.54,16,0,0.4,3.894850260497353e-07,z
0,1.56,16,0,0.4,3.8023944874907113e-07,x
0,1.56,16,0,0.4,2.815385422844015e-07,z
0,1.58,16,0,0.4,2.742494306637278e-07,x
