a0,alpha,criterion,prior_mean,prior_rho
0.0,0.5235407934570313,random,0.0,0.05
0.0,0.5235407934570313,perfect,0.0,0.05
0.0,0.6665083520507813,random,0.01,0.05
0.0,0.6665083520507813,perfect,0.01,0.05
0.0,0.5176814672851564,random,0.01,0.1
0.0,0.5270563891601563,perfect,0.01,0.1
0.0,0.8926783422851563,random,0.0,0.15
0.0,0.8926783422851563,perfect,0.0,0.15
0.0,0.5141658715820312,random,0.01,0.15
0.0,0.5504936938476563,perfect,0.01,0.15
0.0,0.5100643432617187,random,0.01,0.2
0.0,0.5885793139648436,perfect,0.01,0.2
0.0,0.5598686157226562,random,0.0,0.25
0.0,0.6465866430664065,perfect,0.0,0.25
0.0,0.5065487475585937,random,0.01,0.25
0.0,0.6454147778320314,perfect,0.01,0.25
0.0,0.5036190844726562,random,0.01,0.3
0.0,0.7069377026367187,perfect,0.01,0.3
0.0,0.7614294360351563,random,0.0,0.35
0.0,0.7672887622070312,perfect,0.0,0.35
0.0,0.5006894213867188,random,0.01,0.35
0.0,0.7649450317382813,perfect,0.01,0.35
0.0,1.086622038574219,random,0.0,0.39999999999999997
0.0,1.086622038574219,perfect,0.0,0.39999999999999997
0.0,0.49834569091796876,random,0.01,0.39999999999999997
0.0,0.8182648999023439,perfect,0.01,0.39999999999999997
0.0,0.4954160278320313,random,0.01,0.44999999999999996
0.0,0.8674832397460939,perfect,0.01,0.44999999999999996
0.0,0.49248636474609375,random,0.01,0.49999999999999994
0.0,0.9114281860351563,perfect,0.01,0.49999999999999994
0.0,0.5387750415039063,random,0.0,0.5499999999999999
0.0,1.1686526049804689,perfect,0.0,0.5499999999999999
0.0,0.4895567016601563,random,0.01,0.5499999999999999
0.0,0.9518575366210937,perfect,0.01,0.5499999999999999
0.0,0.5815481225585937,random,0.0,0.6
0.0,1.1551761547851562,perfect,0.0,0.6
0.0,0.4860411059570313,random,0.01,0.6
0.0,0.9875994262695313,perfect,0.01,0.6
0.0,0.48252551025390633,random,0.01,0.65
0.0,1.0198257202148437,perfect,0.01,0.65
0.0,0.47900991455078135,random,0.01,0.7
0.0,1.0479504858398438,perfect,0.01,0.7
0.0,0.5727591333007813,random,0.0,0.75
0.0,1.149316828613281,perfect,0.0,0.75
0.0,0.4749083862304688,random,0.01,0.75
0.0,1.0719737231445314,perfect,0.01,0.75
0.0,0.9026391967773437,random,0.0,0.7999999999999999
0.0,1.1733400659179687,perfect,0.0,0.7999999999999999
0.0,0.4708068579101563,random,0.01,0.7999999999999999
0.0,1.0924813647460938,perfect,0.01,0.7999999999999999
0.0,0.4667053295898438,random,0.01,0.85
0.0,1.1083015454101564,perfect,0.01,0.85
0.0,0.46201786865234384,random,0.01,0.9
0.0,1.1206061303710937,perfect,0.01,0.9
0.0,0.5235407934570313,random,0.0,0.95
0.0,1.1370122436523438,perfect,0.0,0.95
0.0,0.4573304077148438,random,0.01,0.95
0.0,1.1276373217773437,perfect,0.01,0.95
0.1,0.5458062329101563,random,0.0,0.05
0.1,0.5458062329101563,perfect,0.0,0.05
0.1,0.5124080737304688,random,0.01,0.05
0.1,0.5129940063476564,perfect,0.01,0.05
0.1,0.5188533325195313,random,0.0,0.1
0.1,0.5282282543945314,perfect,0.0,0.1
0.1,0.5176814672851564,random,0.01,0.1
0.1,0.5264704565429688,perfect,0.01,0.1
0.1,0.5159236694335938,random,0.0,0.15
0.1,0.5504936938476563,perfect,0.0,0.15
0.1,0.5141658715820312,random,0.01,0.15
0.1,0.5499077612304688,perfect,0.01,0.15
0.1,0.5135799389648437,random,0.0,0.2
0.1,0.5885793139648436,perfect,0.0,0.2
0.1,0.5100643432617187,random,0.01,0.2
0.1,0.5879933813476563,perfect,0.01,0.2
0.1,0.5118221411132813,random,0.0,0.25
0.1,0.6454147778320314,perfect,0.0,0.25
0.1,0.5065487475585937,random,0.01,0.25
0.1,0.6454147778320314,perfect,0.01,0.25
0.1,0.5106502758789062,random,0.0,0.3
0.1,0.7069377026367187,perfect,0.0,0.3
0.1,0.5036190844726562,random,0.01,0.3
0.1,0.7069377026367187,perfect,0.01,0.3
0.1,0.5100643432617187,random,0.0,0.35
0.1,0.7649450317382813,perfect,0.0,0.35
0.1,0.5006894213867188,random,0.01,0.35
0.1,0.7649450317382813,perfect,0.01,0.35
0.1,0.5088924780273438,random,0.0,0.39999999999999997
0.1,0.8182648999023439,perfect,0.0,0.39999999999999997
0.1,0.49834569091796876,random,0.01,0.39999999999999997
0.1,0.8182648999023439,perfect,0.01,0.39999999999999997
0.1,0.5088924780273438,random,0.0,0.44999999999999996
0.1,0.8674832397460939,perfect,0.0,0.44999999999999996
0.1,0.4954160278320313,random,0.01,0.44999999999999996
0.1,0.8674832397460939,perfect,0.01,0.44999999999999996
0.1,0.5083065454101563,random,0.0,0.49999999999999994
0.1,0.9114281860351563,perfect,0.0,0.49999999999999994
0.1,0.49248636474609375,random,0.01,0.49999999999999994
0.1,0.9114281860351563,perfect,0.01,0.49999999999999994
0.1,0.5083065454101563,random,0.0,0.5499999999999999
0.1,0.9518575366210937,perfect,0.0,0.5499999999999999
0.1,0.4895567016601563,random,0.01,0.5499999999999999
0.1,0.9518575366210937,perfect,0.01,0.5499999999999999
0.1,0.5083065454101563,random,0.0,0.6
0.1,0.9875994262695313,perfect,0.0,0.6
0.1,0.4860411059570313,random,0.01,0.6
0.1,0.9875994262695313,perfect,0.01,0.6
0.1,0.5083065454101563,random,0.0,0.65
0.1,1.0198257202148437,perfect,0.0,0.65
0.1,0.48252551025390633,random,0.01,0.65
0.1,1.0198257202148437,perfect,0.01,0.65
0.1,0.5088924780273438,random,0.0,0.7
0.1,1.0479504858398438,perfect,0.0,0.7
