a0,alpha,n_iter,prior_mean,prior_rho,v,x_id
0.1,0.02,4,0,0.4,0.39999999971387273,x
0.1,0.02,4,0,0.4,0.39999997854044356,z
0.1,0.04,5,0,0.4,0.3999999998394721,x
0.1,0.04,5,0,0.4,0.39999999398020203,z
0.1,0.06,5,0,0.4,0.3999999981327884,x
0.1,0.06,5,0,0.4,0.39999995331971006,z
0.1,0.08,5,0,0.4,0.3999999920381439,x
0.1,0.08,5,0,0.4,0.3999998507151932,z
0.1,0.1,6,0,0.4,0.39999999508605644,x
0.1,0.1,6,0,0.4,0.39999992629084696,z
0.1,0.12,6,0,0.4,0.3999999854492529,x
0.1,0.12,6,0,0.4,0.39999981811565427,z
0.1,0.14,7,0,0.4,0.3999999897074417,x
0.1,0.14,7,0,0.4,0.39999988972258643,z
0.1,0.16,7,0,0.4,0.3999999738219934,x
0.1,0.16,7,0,0.4,0.3999997545811727,z
0.1,0.18,7,0,0.4,0.39999994049165877,x
0.1,0.18,7,0,0.4,0.39999950409708296,z
0.1,0.2,8,0,0.4,0.39999995027452473,x
0.1,0.2,8,0,0.4,0.39999962705888964,z
0.1,0.22,8,0,0.4,0.39999989330426733,x
0.1,0.22,8,0,0.4,0.3999992725289009,z
0.1,0.24,9,0,0.4,0.39999989731357116,x
0.1,0.24,9,0,0.4,0.3999993582096553,z
0.1,0.26,10,0,0.4,0.3999998903090216,x
0.1,0.26,10,0,0.4,0.3999993671672599,z
0.1,0.28,10,0,0.4,0.3999997697830472,x
0.1,0.28,10,0,0.4,0.3999987666941852,z
0.1,0.3,11,0,0.4,0.39999972470784595,x
0.1,0.3,11,0,0.4,0.3999986235382819,z
0.1,0.32,12,0,0.4,0.39999964174964486,x
0.1,0.32,12,0,0.4,0.3999983206999564,z
0.1,0.34,14,0,0.4,0.3999996572201518,x
0.1,0.34,14,0,0.4,0.39999848773466745,z
0.1,0.36,15,0,0.4,0.3999994508476381,x
0.1,0.36,15,0,0.4,0.3999977118620174,z
0.1,0.38,17,0,0.4,0.3999992866682609,x
0.1,0.38,17,0,0.4,0.3999971842117986,z
0.1,0.4,20,0,0.4,0.39999912716750163,x
0.1,0.4,20,0,0.4,0.3999967268709899,z
0.1,0.42,23,0,0.4,0.3999986289332062,x
0.1,0.42,23,0,0.4,0.39999510331609656,z
0.1,0.44,28,0,0.4,0.3999978945178784,x
0.1,0.44,28,0,0.4,0.3999928221822627,z
0.1,0.46,37,0,0.4,0.39999656110732584,x
0.1,0.46,37,0,0.4,0.39998878612315125,z
0.1,0.48,56,0,0.4,0.39999242852367944,x
0.1,0.48,56,0,0.4,0.39997633868879634,z
0.1,0.5,3,0,0.4,0.3999241686628515,x
0.1,0.5,3,0,0.4,0.3997724630078312,z
0.1,0.52,200,0,0.4,0.3966422358353867,x
0.1,0.52,200,0,0.4,0.39024344803176697,z
